Authors,Title,Citation,DOIorPMID,Publisher,Year,Country (primary),Institution,All entries I found myself,Problem Type,Cluster,Cat1,Cat2,Cat3,FINDINGS,Reported to journal and or institute,Reported on Pubpeer,"Reported to Pubpeer, journal and or institute",PubPeer  post date,PubPeer Identity,PubPeer url,Email to Editor,RT,Expression of concern,CR,Correction or Retraction Date,Survival,mBio Set 782
"Ying Li, Xiaohua Huang, Weiliang Zhong, Jianing Zhang, Keli Ma",Ganglioside GM3 promotes HGF-stimulated motility of murine hepatoma cell through enhanced phosphorylation of cMet at specific tyrosine sites and PI3K/Akt-mediated migration signaling,Mol Cell Biochem (2013) 382:83–92,10.1007/s11010-013-1720-9,Springer,2013,China,"Department of Clinical Laboratory, Second Affiliated Hospital of Dalian Medical University, Dalian",1,ImageDupl,Li Jia Dalian Medical University cluster,1,,,Duplicated blot panel,1,1,1,2/19/2019,Bacillus Mannanilyticus,https://pubpeer.com/publications/1D21126A12C889160B49FC85502643,10/4/2015,,,,,-42281,1
"Zhaohai Zhang, Jie Sun, Lihong Hao, Chunqing Liu, Hongye Ma, Li Jia",Modification of Glycosylation Mediates the Invasive Properties of Murine Hepatocarcinoma Cell Lines to Lymph Nodes,"PLOS ONE, June 2013 | Volume 8 | Issue 6 | e65218, doi: 10.1371/journal.pone.0065218",10.1371/journal.pone.0065218,PLOS,2013,China,"Medical University, Dalian",1,ImageDupl,Li Jia Dalian Medical University cluster,,,1,"duplicated blots, multiple presence of same group of cells in same microscopy image",1,1,1,7/22/2014,Peer 1,https://pubpeer.com/publications/8ED5A9B90935AB08E5A79FDF1CE3A9,7/22/2014,1,,,9/6/2019,1872,1
"Hongye Ma, Lei Cheng, Keji Hao, Yanping Li, Xiaobo Song, Huimin Zhou, Li Jia",Reversal Effect of ST6GAL 1 on Multidrug Resistance in Human Leukemia by Regulating the PI3K/Akt Pathway and the Expression of P-gp and MRP1,"PLoS ONE, January 2014 | Volume 9 | Issue 1 | e85113",10.1371/journal.pone.0085113,PLOS,2014,China,"Medical University, Dalian, Liaoning Province",1,ImageDupl,Li Jia Dalian Medical University cluster,,1,,"duplicated blot panels representing different proteins, overlapping microscopy panels, mulltiple cases",1,1,1,7/22/2014,Peer 1,https://pubpeer.com/publications/BE9CBD7737332C53A4773F7893B1D1,7/22/2014,1,,,10/17/2019,1913,1
"Li Li, Ji-kun Du, Li-yi Zou, Tie Wu, Yong-woo Lee, Yong-ho Kim",Decursin Isolated from Angelica gigas Nakai Rescues PC12 Cells from Amyloid 𝛽-Protein-Induced Neurotoxicity through Nrf2-Mediated Upregulation of Heme Oxygenase-1: Potential Roles of MAPK,"Evidence-Based Complementary, and Alternative Medicine, Volume 2013, Article ID 467245",10.1155/2013/467245,Hindawi,2013,Korea,"Department of Smart Food and Drugs, Graduate School, Inje University, Gimhae",1,ImageDupl,Li Li Yong-ho Kim Inje University ,,1,,Multiple cases of shifted or rotated blot panels,1,1,1,2/14/2015,Peer 3,https://pubpeer.com/publications/D823A696B05E87EC75F412CD6A8257,10/2/2015,1,,0,1/2/2019,1188,1
"Qing-Fang Li, Hai-Yan Zhu, Yue-Feng Yang, Jiao Liu, Feng-Jun Xiao, Qun-Wei Zhang, Chu-Tse Wu, Hua Wang, Li-Sheng Wang",Prokineticin-1/endocrine gland-derived vascular endothelial growth factor is a survival factor for human multiple myeloma cells,"Leukemia & Lymphoma, October 2010; 51(10): 1902–1912",10.3109/10428194.2010.512963,Taylor&Francis,2010,China,"Department of Experimental Hematology, Beijing Institute of Radiation Medicine, Beijing",1,ImageDupl,Li-Sheng Wang et al at Beijing Institute of Radiation Medicine,,,1,"Overlapping microscopy images, stretched differently, possibly duplicated bands but not sure",1,1,1,8/12/2023,Elisabeth Bik,https://pubpeer.com/publications/8AE86E3C8B89B62137E942BFD3BB5D,10/4/2015,,,,,-42281,1
"Zhonglei Lu, Xiangxiang Kong, Zhaoming Lu, Meixiang Xiao, Meiyuan Chen, Liang Zhu, Yuemao Shen, Xiangyang Hu, Siyang Song",Para-Aminobenzoic Acid (PABA) Synthase Enhances Thermotolerance of Mushroom Agaricus bisporus,"PLOS ONE, March 2014 | Volume 9 | Issue 3 | e91298",10.1371/journal.pone.0091298,PLOS,2014,China,"School of Life Science, Xiamen University, Xiamen, Fujian",1,ImageDupl,Liang Zhu and Zhonglei Lu,,1,,Mirrored microscopy panels,1,1,1,3/4/2020,Elisabeth Bik,https://pubpeer.com/publications/3F05DC53E33FCB2ABA79965C492BAB,10/7/2015,,,,,-42284,1
"Ruiya Li, Lingli Zhang, Lizhou Jia, Yan Duan, Yan Li, Jie Wang, Lidao Bao, Na Sha",MicroRNA-143 Targets Syndecan-1 to Repress Cell Growth in Melanoma,"PLOS One, April 2014 | Volume 9 | Issue 4 | e94855",10.1371/journal.pone.0094855,PLOS,2014,China,"Inner Mongolia People’s Hospital, Hohhot",1,ImageDupl,Lidao Bao Hohhot Mongolia cluster,,,1,Possibly manipulated FACS images,1,1,1,3/2/2020,"Elisabeth Bik, secondary",https://pubpeer.com/publications/0C39A87E7BDC11F38FE5B949769E39,4/18/2014,1,,,10/10/2018,1636,1
"Xinpeng Jiang, Meiling Yu, Xinyuan Qiao, Min Liu, Lijie Tang, Yanping Jiang, Wen Cui, Yijing Li",Up-regulation of MDP and tuftsin gene expression in Th1 and Th17 cells as an adjuvant for an oral Lactobacillus casei vaccine against anti-transmissible gastroenteritis virus,Appl Microbiol Biotechnol (2014) 98:8301–8312,10.1007/s00253-014-5893-2,Springer,2014,China,"Department of Preventive Veterinary Medicine, College of Veterinary Medicine, Northeast Agricultural University, Harbin",1,ImageDupl,"Lijie Tang / Yijing Li / Aili Gao at Northeast Agricultural University, Harbin",1,,,Duplicated FACS plot,1,1,1,8/16/2022,Elisabeth Bik,https://pubpeer.com/publications/7075A9950863163E83729CEA33BED5,10/4/2015,,,,,-42281,1
"Lili Jiang, Jihong Chang, Qingfu Zhang, Limei Sun, Xueshan Qiu",MicroRNA Hsa-miR-125a-3p Activates p53 and Induces Apoptosis in Lung Cancer Cells,"Cancer Investigation, 31:538–544, 2013",10.3109/07357907.2013.820314,Taylor&Francis,2013,China,"Department of Pathology, The First Affiliated Hospital, and College of Basic Medical Sciences, China Medical University, Shenyang, Liaoning",1,ImageDupl,Lili Jiang Shenyang cluster,,,1,"Shifted, and changed blot",1,1,1,4/13/2021,Elisabeth Bik,https://pubpeer.com/publications/63E264B375D02474ABF62A953D48B9,10/4/2015,,,,,-42281,1
"Lilian Amrein, May Shawi, Jeremy Grenier, Raquel Aloyz, Lawrence Panasci",The phosphatidylinositol-3 kinase I inhibitor BKM120 induces cell death in B-chronic lymphocytic leukemia cells in vitro,"Int. J. Cancer: 133, 247–252 (2013)",10.1002/ijc.27989,Wiley (10.1002 / 10/1111 etc),2013,Canada,"Department of Oncology, Faculty of Medicine, McGill University, Lady Davis Institute-Segal Cancer Center from the Jewish General Hospital, Montreal,",1,ImageDupl,Lilian Amrein and Raquel Aloyz cluster,1,,,Duplicated control blot panel,1,1,1,3/11/2019,Ocybadistes Walkeri,https://pubpeer.com/publications/F2053F70365DFD124DC3E80E5C47E2,2/21/2015,,,1,8/7/2015,167,1
"Guobin Miao, Zhe Chen, Xiangyang Fang, Miaobing Liu, Gang Hao, Huiling An, Zhiyong Zhang, Lingqiao Lu, Jian Zhang, Lin Zhang",Relationship between the Autoantibody and Expression of b3-Adrenoceptor in Lung and Heart,"PLOS ONE, July 2013 | Volume 8 | Issue 7 | e68747, doi:10.1371/journal.pone.0068747",10.1371/journal.pone.0068747,PLOS,2013,China,Beijing Chaoyang Hospital,1,ImageDupl,Lin Zhang Guobin Miao Bejing Chaoyang cluster,,1,,"overlapping microscopy images, multiple cases, reuse of older published figures",1,1,1,7/12/2014,Peer 1,https://pubpeer.com/publications/BAF06C67F1DC2EC33B7C1028CDAE32,7/12/2014,,,,,-41832,1
"Minghua Yang, Pei Zeng, Rui Kang, Yan Yu, Liangchun Yang, Daolin Tang, Lizhi Cao",S100A8 Contributes to Drug Resistance by Promoting Autophagy in Leukemia Cells,"PLOS ONE, May 2014 | Volume 9 | Issue 5 | e97242",10.1371/journal.pone.0097242,PLOS,2014,China,"Pediatrics, Xiangya Hospital, Central South University, Changsha Hunan",1,ImageDupl,Lizhi Cao Xiangya Hospital cluster,,1,,"Duplicated blot panels, compressed",1,1,1,3/29/2019,Bacillus Mannanilyticus ,https://pubpeer.com/publications/C6D0615CD94C17023B35F1B0598DE7,10/7/2015,1,,,8/5/2020,1764,1
"Minglong Shao, Xuemian Lu, Weitao Cong, Xiao Xing, Yi Tan, Yunqian Li, Xiaokun Li, Litai Jin, Xiaojie Wang, Juancong Dong, Shunzi Jin, Chi Zhang, Lu Cai",Multiple Low-Dose Radiation Prevents Type 2 Diabetes- Induced Renal Damage through Attenuation of Dyslipidemia and Insulin Resistance and Subsequent Renal Inflammation and Oxidative Stress,"PLOS ONE, March 2014 | Volume 9 | Issue 3 | e92574",10.1371/journal.pone.0092574,PLOS,2014,China,"School of Public Health of Jilin University, Changchun",1,ImageDupl,"Lu Cai cluster Jilin University, Chanchun",,1,,Overlapping microscopy images,1,1,1,3/4/2020,Elisabeth Bik,https://pubpeer.com/publications/E1C2F475DA89C30BF005BC0CAD660C,10/7/2015,,,,,-42284,1
"Lianyu Chen, Chao Qu, Hao Chen, Litao Xu, Qi Qi, Jianmin Luo Kun Wang, Zhiqiang Meng, Zhen Chen, Peng Wang, Luming Liu",Chinese Herbal Medicine Suppresses Invasion-Promoting Capacity of Cancer-Associated Fibroblasts in Pancreatic Cancer,"PLOS ONE, April 2014 | Volume 9 | Issue 4 | e96177",10.1371/journal.pone.0096177,PLOS,2014,China,Fudan University Shanghai Cancer Center,1,ImageDupl,Luming Liu and Lianyu Chen Shanghai Cancer Center,,1,,Overlapping microscopy images,1,1,1,4/9/2020,Elisabeth Bik,https://pubpeer.com/publications/2FAAD5BE47D24E32900F2D0E422680,5/11/2014,,,,,-41770,1
"Kholiswa C. Ngumbela, Michael N. Sack, M. Faadiel Essop",Counter-regulatory effects of incremental hypoxia on the transcription of a cardiac fatty acid oxidation enzyme-encoding gene,"Molecular and Cellular Biochemistry 250: 151–158, 2003",10.1023/a:1024921329885,Springer,2003,South Africa,"Hatter Institute for Cardiology Research, University of Cape Town Medical School, Cape Town",1,ImageDupl,M. Faadiel Essop,,,1,Duplicated lanes within blot panels,1,1,1,1/10/2021,Elisabeth Bik,https://www.pubpeer.com/publications/B6339AC818A1A819A3EFE7784FD4B3,10/4/2015,1,,,12/8/2023,2987,1
"Hongjie Wang, Ruizhi Wang, Shaohua Xu, Madepalli K. Lakshmana",RanBP9 Overexpression Accelerates Loss of Pre and Postsynaptic Proteins in the APΔE9 Transgenic Mouse Brain,"PLOS One, January 2014 | Volume 9 | Issue 1 | e85484",10.1371/journal.pone.0085484,PLOS,2014,USA,"Torrey Pines, Florida",1,ImageDupl,Madepalli Lakshmana PLOS One Editor cluster,1,,,"duplicated blots, duplicated microscopy",1,1,1,3/4/2020,Elisabeth Bik,https://pubpeer.com/publications/201CC86F1CD7CBE978D3372ADA6628,4/20/2014,,,1,4/17/2019,1823,1
"Magdalena Krol, Joanna Mucha, Kinga Majchrzak, Agata Homa, Małgorzata Bulkowska, Alicja Majewska, Małgorzata Gajewska, Marta Pietrzak, Mikołaj Perszko, Karolina Romanowska, Karol Pawłowski, Elisabetta Manuali, Eva Hellmen, Tomasz Motyl",Macrophages Mediate a Switch between Canonical and Non-Canonical Wnt Pathways in Canine Mammary Tumors,PLOS ONE January 2014 | Volume 9 | Issue 1 | e83995,10.1371/journal.pone.0083995,PLOS,2014,Poland,Warsaw University,1,ImageDupl,Magdalena Krol cluster,,1,,"duplicated gel panels, some rotated",1,1,1,3/4/2020,"Elisabeth Bik, secondary",https://pubpeer.com/publications/D817A0699663EC4523429E43E37304,3/30/2014,1,,,1/10/2019,1747,1
"Yong Zhou, Furong Shu, Xinyu Liang, Hui Chang, Linying Shi, Xiaoli Peng, Jundong Zhu, Mantian Mi ",Ampelopsin Induces Cell Growth Inhibition and Apoptosis in Breast Cancer Cells through ROS Generation and Endoplasmic Reticulum Stress Pathway,"PLOS ONE, February 2014 | Volume 9 | Issue 2 | e89021",10.1371/journal.pone.0089021,PLOS,2014,China,"Third Military Medical University, Chongqing Key Laboratory of Nutrition, and Food Safety",1,ImageDupl,Mantian Mi cluster,1,,,same actin panel used for different experiments,1,1,1,12/8/2018,Hedeoma Pulegioides,https://pubpeer.com/publications/309D40E2EB8AFE02C787AEE1124263,10/7/2015,,,,,-42284,1
"Marilena Galdiero, Mariateresa Vitiello, Marina D’Isanto, Katia Raieta, Emilia Galdiero",STAT1 and STAT3 phosphorylation by porins are independent of JAKs but are dependent on MAPK pathway and plays a role in U937 cells production of interleukin-6,Cytokine 36 (2006) 218–228,10.1016/j.cyto.2006.12.003,Elsevier/ScienceDirect (10.1016),2006,Italy,"Experimental Medicine, Section of Microbiology, and Clinical Microbiology, Faculty of Medicine, Second University of Naples",1,ImageDupl,Marilena Galdiero and family Naples cluster,1,,,Multiple cases of duplicated blots,1,1,1,4/13/2021,Elisabeth Bik,https://pubpeer.com/publications/B2973D97BB49B02B27BA2A6B704C5F,10/4/2015,,,,,-42281,1
"Takeshi Ohya, Marta Miaczynska, Unal Coskun, Barbara Lommer, Anja Runge, David Drechsel, Yannis Kalaidzidis, & Marino Zerial",Reconstitution of Rab- and SNARE-dependent membrane fusion by synthetic endosomes,"Nature, Vol 459, 25 June 2009, page 1091",10.1038/nature08107,Nature,2009,Germany,"Max Planck Institute of Molecular Cell Biology, and Genetics, Dresden",1,ImageDupl,Marino Zerial,1,,,"Duplicated blot lanes, multiple cases",1,1,1,12/19/2021,Elisabeth Bik,https://pubpeer.com/publications/16BD538A394B63D1EA3354145DD9E6,5/3/2015,,,1,1/25/2024,3189,1
"Marion Rodier, Anne Prigent-Tessier, Yannick Be ́jot, Agne`s Jacquin, Claude Mossiat, Christine Marie, Philippe Garnier",Exogenous t-PA Administration Increases Hippocampal Mature BDNF Levels. Plasmin- or NMDA-Dependent Mechanism?,"PLOS ONE, March 2014 | Volume 9 | Issue 3 | e92416",10.1371/journal.pone.0092416,PLOS,2014,France,"Unite ́ INSERM U1093 Cognition, Action et Plasticite ́ Sensorimotrice, Dijon,",1,ImageDupl,Marion Rodier,,,1,"Multiple cases of duplicated, shifted, manipulated blot panels",1,1,1,1/1/2021,Elisabeth Bik,https://pubpeer.com/publications/70F62C4742D329112CF5DC5DA7FDC7,10/7/2015,1,,,8/3/2021,2127,1
"Yuan Du, Tomomi Hashizume, Tomoko Kurita-Ochiai, Satoshi Yuzawa, Yoshimitsu Abiko, Masafumi Yamamoto",Nasal Immunization with a Fusion Protein Consisting of the Hemagglutinin A Antigenic Region and the Maltose-Binding Protein Elicits CD11c􏰇 CD8􏰇 Dendritic Cells for Induced Long-Term Protective Immunity􏲫,"Infect. Immun. Feb. 2011, p. 895–904 Vol. 79, No. 2",10.1128/IAI.01203-10,ASM,2011,Japan,"Nihon University School of Dentistry at Matsudo, Matsudo, Chiba ",1,ImageDupl,Masafumi Yamamoto Nihon University,1,,,"Duplicated FACS plots, multiple cases",1,1,1,10/17/2021,Elisabeth Bik,https://pubpeer.com/publications/528D506C2EAD8E77E2383C618A0FEF,3/8/2015,,,1,10/15/2015,221,1
"Maurilio Sampaolesi, Yvan Torrente, Anna Innocenzi, Rossana Tonlorenzi, Giuseppe D’Antona, M. Antonietta Pellegrino, Rita Barresi, Nereo Bresolin, M. Gabriella Cusella De Angelis, Kevin P. Campbell, Roberto Bottinelli, Giulio Cossu",Cell Therapy of 􏱝α-Sarcoglycan Null Dystrophic Mice Through Intra-Arterial Delivery of Mesoangioblasts,"Science 301, 487 (2003)",10.1126/science.1082254,AAAS (Science),2003,Italy,"Stem Cell Research Institute, H. S. Raffaele, Milan",1,ImageDupl,Maurilio Sampaolesi,,1,,Mirrored microscopy panel,1,1,1,10/30/2015,Peer 3,https://pubpeer.com/publications/A4168ADB87553539116CF3AB4BD133,4/24/2015,,,,,-42118,1
"MEI LING JIN, SUN YOUNG PARK, YOUNG HUN KIM, GEUNTAE PARK, SANG JOON LEE",Halofuginone induces the apoptosis of breast cancer cells and inhibits migration via downregulation of matrix metalloproteinase-9,"INTERNATIONAL JOURNAL OF ONCOLOGY 44: 309-318, 2014",10.3892/ijo.2013.2157,Spandidos,2013,South Korea,"Bio-IT Fusion Technology Research Institute, Pusan National University, Busan",1,ImageDupl,Mei Ling Jin Bio-IT Korea cluster,,1,,Overlapping microscopy images,1,1,1,9/20/2019,Elisabeth Bik,https://pubpeer.com/publications/04F62753F5BAEDA69EB6F01DF4CFBD,10/4/2015,,,,,-42281,1
"Meiou Dai, Amal A Al-Odaini, Ani Arakelian, Shafaat A Rabbani, Suhad Ali, Jean-Jacques Lebrun",A novel function for p21Cip1 and acetyltransferase p/CAF as critical transcriptional regulators of TGFb-mediated breast cancer cell migration and invasion,"Breast Cancer Research 2012, 14:R127",10.1186/bcr3322,Springer/ BioMedCentral,2012,Canada,"Division of Medical Oncology, Department of Medicine, McGill University Health Center, Royal Victoria Hospital, Montreal, ",1,ImageDupl,Meiou Dai / Montreal cluster,1,,,Duplicated blot panels,1,1,1,10/17/2021,"Elisabeth Bik, secondary",https://pubpeer.com/publications/641ED48BC62B23E556B65E6FAFAF80,7/29/2015,,,1,3/28/2017,608,1
"Meiou Dai, Amal A Al-Odaini, Nadège Fils-Aimé, Manuel A Villatoro, Jimin Guo, Ani Arakelian, Shafaat A Rabbani, Suhad Ali, Jean Jacques Lebrun",Cyclin D1 cooperates with p21 to regulate TGFb-mediated breast cancer cell migration and tumor local invasion,"Breast Cancer Research 2013, 15:R49",10.1186/bcr3441,Springer/ BioMedCentral,2013,Canada,"Division of Medical Oncology, Department of Medicine, McGill University Health Center, Royal Victoria Hospital, Montreal, ",1,ImageDupl,Meiou Dai / Montreal cluster,,1,,Overlapping microscopy images,1,1,1,10/17/2021,"Elisabeth Bik, secondary",https://pubpeer.com/publications/37F0961BEE7216C0A6D78FB0600168,7/29/2015,,,1,3/28/2017,608,1
"Miao Wang, Feng Zhao, Shujing Li, Alan K. Chang, Zhaojun Jia, Yixuan Chen, Feihong Xu, Hongming Pan, Huijian Wu",AIB1 Cooperates with ERa to Promote Epithelial Mesenchymal Transition in Breast Cancer through SNAI1 Activation,"PLOS ONE, June 2013 | Volume 8 | Issue 6 | e65556",10.1371/journal.pone.0065556,PLOS,2013,China,Dalian University of Technology,1,ImageDupl,Miao Wang from Dalian University of Technology,,,1,"duplicated blots, bands, overlapping microscopy panels",1,1,1,4/4/2020,Elisabeth Bik,https://pubpeer.com/publications/9F0E6BFFF4B51C061E65FA0A3D01F2,10/7/2015,1,,,6/1/2021,2064,1
"Michael DeNiro, Falah H. Al-Mohanna, Osama Alsmadi, Futwan A. Al-Mohanna",The Nexus between VEGF and NFkB Orchestrates a Hypoxia-Independent Neovasculogenesis,"PLOS ONE, March 2013 | Volume 8 | Issue 3 | e59021",10.1371/journal.pone.0059021,PLOS,2013,Saudi Arabia,"King Khaled Eye Specialist Hospital, Riyadh",1,ImageDupl,Michael DeNiro cluster,0,1,,"Multiple duplicate gel bands, presented as different proteins",1,1,1,9/20/2019,Elisabeth Bik,https://pubpeer.com/publications/E379EC39C837D826BC13B3035A7DE4,10/7/2015,1,,,12/30/2019,1545,1
"Stefanie U Hölzer, Michael Hensel",Functional dissection of translocon proteins of the Salmonella Pathogenicity Island 2-encoded type III secretion system,"BMC Microbiology 2010, 10:104",10.1186/1471-2180-10-104,Springer/ BioMedCentral,2010,Germany,"Mikrobiologisches Institut, Universitätsklinikum Erlangen, Erlangen",1,ImageDupl,Michael Hensel / Erlangen cluster,1,,,"Duplicated microscopy panels (error?), duplicated blot strips",1,1,1,11/23/2019,Elisabeth Bik,https://pubpeer.com/publications/542A5E3288E6783FB48B337F4BD51E,7/29/2015,,,,,-42214,1
"Wael Abdel Halim Hegazy, Xin Xu, Leonid Metelitsa, Michael Hensel",Evaluation of Salmonella enterica Type III Secretion System Effector Proteins as Carriers for Heterologous Vaccine Antigens,"Infect. Immun. 2012, 80(3):1193",10.1128/IAI.06056-11,ASM,2012,Germany,Universitätsklinikum Erlangen,1,ImageDupl,Michael Hensel / Erlangen cluster,1,,,"duplicated gel panels, exact duplicate",1,1,1,12/17/2021,Elisabeth Bik,https://pubpeer.com/publications/7F3B70A1A370E66CE21357E32ED813,10/30/2014,,,1,2/13/2015,106,1
"Michael Waters, Amanda Savoie, Helen S. Garmory, Dawn Bueschel, Michel R. Popoff, J. Glenn Songer, Richard W. Titball, Bruce A. McClane, Mahfuzur R. Sarker",Genotyping and Phenotyping of Beta2-Toxigenic Clostridium perfringens Fecal Isolates Associated with Gastrointestinal Diseases in Piglets,"J. Clin. Microbiol. 2003, 41(8):3584",10.1128/JCM.41.8.3584-3591.2003,ASM,2003,USA,"Oregon State University, Corvallis",1,ImageDupl,Michael Waters / Bruce McClane / Sarker cluster,,,1,bands in gel appear to be spliced in,1,1,1,12/18/2018,Lotus Azoricus,https://pubpeer.com/publications/10850C30B40D87F05A513467EAC449,12/26/2014,1,,,5/8/2024,3421,1
"Michael Waters, Deepa Raju, Helen S. Garmory, Michel R. Popoff, Mahfuzur R. Sarker",Regulated Expression of the Beta2-Toxin Gene ( cpb2) in Clostridium perfringens Type A Isolates from Horses with Gastrointestinal Diseases,"J. Clin. Microbiol. 2005, 43(8):4002",10.1128/JCM.43.8.4002-4009.2005,ASM,2005,USA,"Oregon State University, Corvallis",1,ImageDupl,Michael Waters / Bruce McClane / Sarker cluster,,,1,"duplicated background, pasted-in bands?",1,1,1,12/18/2018,Lotus Azoricus,https://pubpeer.com/publications/1D858764F00C846A01A826F7C0ED9E,12/26/2014,1,,,4/12/2024,3395,1
"Jianming Chen, Julian I. Rood, Bruce A. McClane",Epsilon-Toxin Production by Clostridium perfringens Type D Strain CN3718 Is Dependent upon the agr Operon but Not the VirS/VirR Two-Component Regulatory System,mBio 2(6):  2011,10.1128/mBio.00275-11,ASM,2011,USA,Pittsburgh,1,ImageDupl,Michael Waters / Bruce McClane / Sarker cluster,,1,,"Overlapping microscopy images, multiple times",1,1,1,10/17/2021,Elisabeth Bik,https://pubpeer.com/publications/70260B795973E7B0408EBE808527ED,10/30/2014,1,,0,3/23/2022,2701,1
"Wen-lin Xiao, Min Wu, Bing Shi",Folic acid rivals methylenetetrahydrofolate reductase (MTHFR) gene-silencing effect on MEPM cell proliferation and apoptosis,"Molecular and Cellular Biochemistry 292: 145–154, 2006",10.1007/s11010-006-9228-1,Springer,2006,China,"Department of Oral, and Maxillofacial surgery, West China College of Stomatology, Sichuan University; Chengdu and North Dakota",1,ImageDupl,Min Wu / North Dakota cluster,1,,,Duplicated actin blot,1,1,1,1/9/2021,Elisabeth Bik,https://www.pubpeer.com/publications/91914FE67E575D28AED0E33882784F,10/4/2015,,1,0,12/27/2022,2641,1
"Kelei Zhao, Xin Deng, Chuan He, Bisong Yue, Min Wu",Pseudomonas aeruginosa Outer Membrane Vesicles Modulate Host Immune Responses by Targeting the Toll-Like Receptor 4 Signaling Pathway,"Infect. Immun. 2013, 81(12):4509",10.1128/IAI.01008-13,ASM,2013,USA,Univ North Dakota,1,ImageDupl,Min Wu / North Dakota cluster,,,1,"duplicated blots, shifted, band duplicated within same panel",1,1,1,10/29/2020,"Elisabeth Bik, secondary",https://pubpeer.com/publications/265352CDEA73F0D81A73927FE08C28,10/30/2014,1,,,4/15/2015,167,1
"Rounak Nassirpour, Pramod P. Mehta, Sangita M. Baxi, Min-Jean Yin ",miR-221 Promotes Tumorigenesis in Human Triple Negative Breast Cancer Cells,"PLOS ONE, April 2013 | Volume 8 | Issue 4 | e62170",10.1371/journal.pone.0062170,PLOS,2013,USA,Pfizer,1,ImageDupl,Min-Jean Yin / Rounak Nassirpour / Pfizer cluster,,,1,Duplicated / mirrored bands in blot,1,1,1,12/5/2015,Peer 1,https://pubpeer.com/publications/896E7E8E67CB0B4FB9C08E476C6A74,10/7/2015,1,,,4/10/2017,551,1
"Ritu Arora, Clayton Yates, Bernard D. Gary, Steven McClellan, Ming Tan, Yaguang Xi, Eddie Reed, Gary A. Piazza, Laurie B. Owen, Windy Dean-Colomb","Panepoxydone Targets NF-kB and FOXM1 to Inhibit Proliferation, Induce Apoptosis and Reverse Epithelial to Mesenchymal Transition in Breast Cancer","PLOS ONE, June 2014 | Volume 9 | Issue 6 | e98370",10.1371/journal.pone.0098370,PLOS,2014,USA,"Oncologic Sciences, Mitchell Cancer Institute, University of South Alabama, Mobile, Alabama,",1,ImageDupl,Ming Tan / Windy Dean-Colomb cluster,,1,,"overlapping microscopy images, multiple cases, reuse of older published figures",1,1,1,3/4/2020,Elisabeth Bik,https://pubpeer.com/publications/C014C949B809F4D368B2556A8ADF43,6/7/2014,1,,,12/29/2023,3492,1
"Xiao-Min Wang, Jing Li, Ming-Xia Yan, Lei Liu, De-Shui Jia, Qin Geng, He-Chun Lin, Xiang-Huo He, Jin-Jun Li, Ming Yao","Integrative Analyses Identify Osteopontin, LAMB3 and ITGB1 as Critical Pro-Metastatic Genes for Lung Cancer","PLOS ONE, February 2013 | Volume 8 | Issue 2 | e55714",10.1371/journal.pone.0055714,PLOS,2013,China,Shanghai Jiao Tong University ,1,ImageDupl,Ming Yao / Jinjun Li / Shanghai Jiao Tong cluster,,1,,overlapping microscopy images,1,1,1,3/12/2020,Elisabeth Bik,https://pubpeer.com/publications/2B5B4E7FE314929E9D7CF4012F8EF7,10/7/2015,,,,,-42284,1
"Mingxia Yan, Hong Li, Miaoxin Zhu, Fangyu Zhao, Lixing Zhang, Taoyang Chen, Guoping Jiang, Haiyang Xie, Ying Cui, Ming Yao, Jinjun Li",G Protein-Coupled Receptor 87 (GPR87) Promotes the Growth and Metastasis of CD133+ Cancer Stem-Like Cells in Hepatocellular Carcinoma,"PLOS ONE, April 2013 | Volume 8 | Issue 4 | e61056",10.1371/journal.pone.0061056,PLOS,2013,China,Shanghai Cancer institute - Jiaotong University (not Gastroenterology),1,ImageDupl,Ming Yao / Jinjun Li / Shanghai Jiao Tong cluster,1,,,Duplicated set of 4 panels,1,1,1,3/12/2020,Elisabeth Bik,https://pubpeer.com/publications/4CD180B3AE913D1F68A73A29EFD1BC,10/7/2015,,,,,-42284,1
"Ying-Yi Chen, Fon-Chang Liu, Pei-Yu Chou, Yi-Chung Chien, Wun-Shaing Wayne Chang, Guang-Jhong Huang, Chieh-Hsi Wu, Ming-Jyh Sheu","Ethanol Extracts of Fruiting Bodies of Antrodia cinnamomea Suppress CL1-5 Human Lung Adenocarcinoma Cells Migration by Inhibiting Matrix Metalloproteinase-2/9 through ERK, JNK, p38 and PI3K/Akt Signaling Pathways","Evidence-Based Complementary, and Alternative Medicine, Volume 2012, Article ID 378415",10.1155/2012/378415,,2012,Taiwan,"School of Pharmacy, China Medical University, Taichung",1,ImageDupl,"Ming-Jyh Sheu / China Medical University, Taichung cluster",1,,,Duplicated 0h microscopy images,1,1,1,12/17/2021,Elisabeth Bik,https://pubpeer.com/publications/821CA575A7DDE1666A011D27269A80,10/2/2015,,,1,12/2/2012,-1034,1
